Video Title,Published Date,Views,Likes,Comments
Welcome to Gemma 3,2025-04-02T16:00:35Z,8925,354,39
Deepdive into Gemma 3,2025-04-02T16:00:29Z,23347,569,34
Using and fine-tuning Gemma 3,2025-04-02T16:00:16Z,6544,167,7
Live demo: Gemma 3 on Jetson Orin Nano,2025-04-02T16:00:06Z,4574,144,9
Building intelligent agents with Gemma 3,2025-04-02T16:00:04Z,27477,894,21
Leveraging large-scale models for efficient learning,2025-04-02T16:00:03Z,916,35,1
Panel: The importance of open models,2025-04-02T16:00:00Z,280,23,2
Which Gemma version is the right one for you?,2025-04-01T20:03:27Z,9607,390,25
Summarize research papers with Gemma,2025-04-01T16:00:49Z,13772,568,43
Can we… get this meeting started?,2025-03-31T23:05:30Z,5187,68,3
Can you spot the two issues with how we’re counting active users? Go!,2025-03-31T13:00:19Z,8523,135,19
Phantom bugs: turning devs into accidental heroes.,2025-03-29T04:00:35Z,12295,189,7
Launching Gemini 2.5,2025-03-28T21:09:19Z,31400,1124,125
Who will be crowned the I/O Puzzle champ?,2025-03-28T16:08:15Z,3402,84,3
"Look Ma, no keys! Signing JWTs with the Google Cloud API",2025-03-27T16:39:19Z,2653,73,4
Just in from the news desk 📰: The next generation of AI with Gemma 3,2025-03-27T16:08:28Z,2859,168,3
"Good thing we check our code before reviews, right?",2025-03-27T04:00:14Z,5726,126,4
A hotkey you can’t live without?,2025-03-26T04:00:45Z,5884,157,10
"Announcing Gemma 3, Flutter 3.29, GDC '25, and more! - Google Developer News March 2025",2025-03-24T16:00:33Z,6448,261,24
Can you spot the two issues with how we’re counting active users? Go!,2025-03-24T13:09:14Z,3843,139,17
Just in from the news desk 📰: Big things that happened at Game Developer Conference!,2025-03-21T17:34:09Z,2986,180,3
"Gemini app: Canvas, Deep Research and personalization",2025-03-20T16:00:34Z,46798,1411,90
Debugging tips from devs,2025-03-20T04:00:54Z,4654,156,16
Collect payments on Android with Checkout.com and Google Pay,2025-03-19T16:47:51Z,3034,113,5
Use Gemini as a coding assistant!,2025-03-17T16:00:28Z,11113,766,20
Building a travel buddy with Gemma,2025-03-13T20:00:31Z,10411,314,31
What’s new in ShieldGemma 2?,2025-03-12T15:59:04Z,9921,245,16
What’s new in Gemma 3?,2025-03-12T07:31:27Z,159983,4847,285
Different bugs. Different reactions.,2025-03-11T04:00:22Z,3404,121,7
What separates a junior engineer from a senior engineer?,2025-03-10T16:01:11Z,4677,220,9
“Im just a lil guy” 🐕,2025-03-07T17:01:09Z,5414,157,8
Fact: The only good bug is a squashed bug,2025-03-07T05:00:02Z,4244,87,7
Just in from the news desk 📰: Release of Flutter 3.29 and Dart 3,2025-03-06T17:11:27Z,2743,118,17
Guess unplugging is the last option…,2025-03-06T05:00:06Z,10441,389,26
Can you identify potential issues with this utility function? Go!,2025-03-03T14:00:24Z,2133,77,11
Just in from the news desk 📰: Google AI Developers Community Spotlight Contest,2025-02-28T02:00:26Z,2203,99,7
The 3 moods of coding ™️,2025-02-27T05:00:00Z,5230,181,13
Ever feel like some people over-use the ellipses?,2025-02-26T05:00:39Z,4034,112,19
Developing Google DeepMind's Thinking Models,2025-02-24T20:00:01Z,11821,426,38
What’s wrong with this TypeScript function? Go!,2025-02-24T14:01:03Z,2152,71,21
Sliding into solitude mode after a call like…,2025-02-21T20:00:36Z,8488,287,27
"Google I/O, the Google Chrome Built-in Al Challenge, and more! - Google Developer News February 2025",2025-02-21T00:00:24Z,6284,136,18
Level up your Google Wallet integration: Pass sharing best practices for developers,2025-02-20T17:42:18Z,2364,73,7
Push anxiety be like …,2025-02-20T05:00:08Z,2594,113,10
Just in from the news desk 📰: Omniaudio 2.b is here!,2025-02-19T05:00:45Z,1355,57,11
Coffee. Code. Campus. That #DevFest Bronx energy! ✨,2025-02-18T17:01:08Z,1699,43,3
Just in from the news desk 📰: Google I/O’s Prism Shift,2025-02-13T17:00:57Z,3160,115,3
"Cloud Run, App Engine, and Cloud Functions for data processing!",2025-02-11T05:00:22Z,1694,62,2
How do YOU pronounce GIF?,2025-02-10T17:00:20Z,6372,61,21
Too much CSV data 🤝 Gemini,2025-02-07T05:00:29Z,3893,105,8
"Unlock more value with Google Wallet Passes: New upsells, links, and more!",2025-02-06T17:40:21Z,2540,71,3
"The key to better AI? Prioritize diversity, ethics, and inclusivity.",2025-02-04T00:00:15Z,1816,40,4
Can you efficiently figure out when this painting theft happened? Go!,2025-02-03T14:00:22Z,3126,115,18
Being a Great Google Summer of Code Mentor,2025-01-29T22:58:32Z,2891,49,6
Congrats! You're a Google Summer of Code Contributor!,2025-01-29T22:58:16Z,1315,25,1
How to Choose a Google Summer of Code Contributor,2025-01-29T22:57:54Z,1564,27,1
Google Summer of Code Mentor Summit,2025-01-29T22:56:05Z,710,10,0
An introduction to Google Summer of Code,2025-01-29T22:55:44Z,46071,909,26
GSoC Trailer,2025-01-29T22:55:25Z,2693,30,0
GSoC Program Overview,2025-01-29T22:55:11Z,1801,19,1
GSoC: Zulip,2025-01-29T22:54:51Z,7492,91,2
GSoC: Wikimedia Foundation,2025-01-29T22:54:34Z,1379,28,1
GSoC: Wagtail,2025-01-29T22:54:18Z,766,13,2
GSoC: Unikraft,2025-01-29T22:53:54Z,646,10,1
GSoC: The Julia Language,2025-01-29T22:53:35Z,735,16,0
GSoC: Rocket.Chat,2025-01-29T22:53:22Z,619,13,0
GSoC: RADAR base,2025-01-29T22:52:57Z,407,7,0
GSoC: QEMU,2025-01-29T22:52:37Z,496,7,1
GSoC: Processing Foundation,2025-01-29T22:52:09Z,362,6,0
GSoC: Postman,2025-01-29T22:51:42Z,601,8,0
GSoC: Oppia Foundation,2025-01-29T22:51:24Z,338,11,0
GSoC: OpenWISP,2025-01-29T22:50:59Z,569,12,0
GSoC: OpenVINO Toolkit,2025-01-29T22:50:33Z,318,5,0
GSoC: Mathesar,2025-01-29T22:50:15Z,337,5,0
GSoC: Machine Learning for Science (ML4SCI) Umbrella Organization,2025-01-29T22:49:35Z,475,10,1
GSoC: Liquid Galaxy Project,2025-01-29T22:49:16Z,336,3,0
GSoC: Learning Equality,2025-01-29T22:48:53Z,278,6,1
GSoC: JdeRobot,2025-01-29T22:48:33Z,303,9,0
GSoC: INCF,2025-01-29T22:48:17Z,265,5,0
GSoC: Google Responsible AI and Human Centered Technology,2025-01-29T22:47:59Z,350,4,1
GSoC Genome Assembly and Annotation,2025-01-29T22:47:34Z,280,7,0
GSoC: FreeBSD Project,2025-01-29T22:47:22Z,488,15,0
GSoC: Forschungszentrum Jülich,2025-01-29T22:47:00Z,279,4,0
GSoC: CNCF,2025-01-29T22:46:38Z,338,10,0
GSoC: Chromium,2025-01-29T22:46:24Z,538,11,0
GSoC: 52°North,2025-01-29T22:46:07Z,393,5,1
How many unique states can you create with combinations of three lights? Go!,2025-01-27T14:00:46Z,3660,136,24
Keep it safe! Google Wallet security features for developers,2025-01-23T17:32:03Z,2136,89,9
Integrate Google Pay with Jetpack Compose on Android,2025-01-22T17:55:13Z,2533,96,5
What's new in the pay plugin for Flutter,2025-01-16T17:00:28Z,6230,262,29
How can both teams signal task completion with cards?  Go!,2025-01-16T02:00:32Z,2503,101,16
Build with Go in Project IDX,2025-01-15T00:00:47Z,8987,263,14
Better prompts = better code. 🤖,2025-01-10T17:31:15Z,3887,248,11
Tip: See your webpage through different eyes on Chrome 👀,2025-01-07T17:00:30Z,2912,150,7
2024 Google AI highlights - Google Developer News December 2024,2025-01-03T20:00:36Z,6388,197,20
What are your developer New Year’s resolutions? 💭,2024-12-30T22:06:06Z,2714,109,12
Tip: Keep an 👁️ on your app’s file sizes,2024-12-26T14:00:01Z,2730,116,7
Can you predict if this code will compile in C#? Go!,2024-12-23T22:00:08Z,5551,128,18
Multimodal Live API demo: GenList,2024-12-19T19:23:20Z,7110,210,18
Vite Vere - Empowering independence with Gemini Flash,2024-12-18T22:53:21Z,5871,171,11
Building with Gemini 2.0: Video understanding,2024-12-16T20:54:16Z,19894,655,38
Relive DevFest Lleida!,2024-12-14T00:00:32Z,1610,52,2
"So, what is DevFest?",2024-12-13T20:00:10Z,2456,85,3
"We’ve all been here, right?",2024-12-13T17:01:05Z,4680,240,11
Gemini 2.0 for developers,2024-12-12T20:03:43Z,67603,1839,90
Multimodal Live API demo: React.js console,2024-12-11T18:36:35Z,21070,266,0
Multimodal Live API demo: GenExplainer,2024-12-11T18:35:53Z,7424,141,17
Multimodal Live API demo: GenWeather,2024-12-11T18:35:27Z,10037,176,0
Behind the Scenes of Gemini 2.0,2024-12-11T15:59:04Z,18789,588,41
Building with Gemini 2.0: Multimodal live streaming,2024-12-11T15:27:27Z,60019,736,0
Building with Gemini 2.0: Native image output,2024-12-11T15:27:01Z,104453,2309,174
Building with Gemini 2.0: Native tool use,2024-12-11T15:26:37Z,37493,533,18
Building with Gemini 2.0: Native audio output,2024-12-11T15:26:18Z,55288,2287,144
Building with Gemini 2.0: Spatial understanding,2024-12-11T15:25:41Z,60490,901,35
Don’t call me that.,2024-12-10T05:00:35Z,8857,182,11
How to implement recurring transactions with Google Pay,2024-12-10T00:00:05Z,3873,94,7
Just in from the news desk 📰: Gemma Developer Day in Tokyo,2024-12-09T19:02:54Z,1439,65,1
What will print in this C Sharp challenge? Let’s find out.,2024-12-09T14:00:18Z,1942,69,10
Two common Google API errors on Android,2024-12-07T05:00:30Z,1788,50,0
Troubleshooting your Google Pay integration on Android,2024-12-07T00:00:36Z,2558,53,5
Who’s testing who?,2024-12-06T17:00:57Z,3179,110,11
When it’s time to lock in….🔒,2024-12-06T05:00:44Z,6188,139,8
Sending passes to Google Wallet with Auto Linked Passes,2024-12-05T17:36:48Z,1945,65,2
5 takeaways from Women in AI Summit 2024,2024-12-05T00:01:03Z,2208,85,7
Assessing AI's progress,2024-12-04T17:02:04Z,814,34,4
How AI is changing the healthcare system,2024-12-04T17:01:54Z,1508,42,7
Building with the Gemini API and AI Studio,2024-12-04T17:01:41Z,11067,281,16
Fast-tracking your AI Career with Kaggle,2024-12-04T17:01:29Z,3982,149,4
AI for everyone with Gemma,2024-12-04T17:01:19Z,4059,157,17
Prompt to production: Building an AI app with Flutter,2024-12-04T17:01:03Z,7219,192,14
AI in your pocket: Building intelligent Android apps,2024-12-04T17:00:50Z,3062,73,3
Introduction to Gemini APIs and AI Studio,2024-12-04T17:00:40Z,36220,1072,31
AI-Powered transformation: Driving innovation and reshaping organizations,2024-12-04T17:00:29Z,3760,115,5
Fine-tuning Gemma for the world's languages,2024-12-03T14:00:13Z,1577,63,5
"“Wait, did someone else touch my code?”",2024-12-03T00:00:40Z,4442,113,1
What skills do you need to work in AI? Find out tomorrow at Women in AI Summit,2024-12-02T20:00:20Z,1639,60,7
Solve why are these nested structures are failing.  Go!,2024-12-02T16:08:44Z,1184,46,6
"Firebase Demo Day, a special guest spotlight, and more! - Google Developer News November 2024",2024-11-28T00:00:12Z,3271,96,6
3 AI myths - bust them at the Women in AI Summit,2024-11-27T00:00:32Z,2053,53,3
The 3 types of DevFest mentors,2024-11-26T20:00:09Z,2513,49,1
How many bugs did I push again?,2024-11-26T05:00:01Z,3783,52,3
Get ready with me for DevFest!,2024-11-26T00:00:19Z,1240,55,0
Just in from the news desk 📰: Firebase Demo Day,2024-11-25T17:00:54Z,1597,58,2
Get ready for the Women in AI Summit,2024-11-22T20:00:28Z,2689,73,6
Uplevel your developer skills with DevFest!,2024-11-22T17:01:19Z,1792,77,2
"Christopher Lloyd didn’t win. So, who did?",2024-11-21T17:15:01Z,6600,160,16
"Fall vibes, but make it developer-friendly. 🍂",2024-11-21T05:00:48Z,2288,56,3
This dev is NOT missing out on DevFest!,2024-11-20T17:00:36Z,3199,73,2
Just in from the news desk 📰:  Angular v19 is here!,2024-11-20T05:00:43Z,3720,186,4
"Google AI Release Notes - Smaller, Faster, Cheaper & The Story of Flash 8B",2024-11-19T19:43:20Z,5923,199,14
Biggest updates in Gemma 2,2024-11-19T05:00:33Z,2049,102,4
What will get printed to the console? Go!,2024-11-18T14:00:12Z,1647,54,8
Using the FHIR Workflow library for on-device decision logic,2024-11-15T17:01:11Z,617,9,3
How to build offline-first Android Apps with FHIR Engine,2024-11-15T17:00:50Z,1023,23,0
Get insights of health records with the FHIR Analytics component,2024-11-15T17:00:39Z,295,4,1
Solve the access-control problems with FHIR Information Gateway,2024-11-15T17:00:37Z,192,3,1
Build healthcare apps with the Structured Data Capture (SDC) Library,2024-11-15T17:00:36Z,352,7,3
What is the Knowledge Manager library?,2024-11-15T17:00:36Z,256,3,1
What is the Android FHIR SDK?,2024-11-15T17:00:28Z,2980,95,2
Gemma Scope demo with Neuronpedia,2024-11-15T02:00:31Z,3940,160,7
What is Gemma Scope?,2024-11-14T21:00:13Z,28151,888,32
Free coffee? Creating Loyalty Cards for Google Wallet,2024-11-14T17:38:52Z,3517,102,3
Updated Gemini 1.5 models in Gemini API and Google AI Studio,2024-11-13T17:00:13Z,4177,119,6
"So, where is the voice coming from?",2024-11-12T00:00:25Z,2872,109,3
Can you identify this function’s output and behavior? Go!,2024-11-11T14:00:12Z,1666,60,6
Get started developing with Gemini API,2024-11-08T17:00:25Z,21745,767,25
Get notified! Google Wallet push notifications,2024-11-07T17:41:43Z,2566,79,4
Level up AI with Grounding with Google Search,2024-11-02T00:00:32Z,2593,75,2
Introducing Grounding with Google Search,2024-11-01T18:08:38Z,4244,88,6
Learn how to extend Wordcraft,2024-11-01T01:00:11Z,1281,58,2
Grounding with Google Search now in Google AI Studio and the Gemini API,2024-10-31T18:00:15Z,14784,300,24
"Google AI competitions, a special guest spotlight, and more - Google Developer News October 2024",2024-10-30T01:00:00Z,3487,124,9
Predict the output of this C code snippet using pointer arithmetic and notation. Go!,2024-10-28T13:00:40Z,2973,125,12
How to extend Slides Advisor,2024-10-25T19:00:23Z,1278,62,3
What’s life like as a Google Software Engineering Manager?,2024-10-24T17:00:05Z,3550,106,7
Making presentable code can be a chore. Let Gemini help you polish.,2024-10-23T13:00:48Z,1237,67,2
"Can you write the code to get a fox, a chicken, and a sack of corn across a river safely? Go!",2024-10-21T16:01:00Z,2232,105,14
Can I use Gemma AI code assistance with non-English languages?,2024-10-18T19:00:29Z,2080,49,2
Demo: Post-training research with Gemma,2024-10-18T16:01:09Z,2933,56,3
"Demo: Gemma 2 architecture: JAX, Flax, and more",2024-10-18T16:01:07Z,12511,99,5
Fine-tuning Gemma for the world's languages,2024-10-18T16:01:03Z,3988,73,1
Demo: Gemma on-device with MediaPipe,2024-10-18T16:01:02Z,2620,29,1
Fireside chat on Gemma's expansion to non-English languages,2024-10-18T16:01:02Z,19110,48,5
What's new in Gemma 2,2024-10-18T16:00:58Z,227876,870,33
"Demo: Gemma data, training, and the path to improvement",2024-10-18T16:00:55Z,2528,12,0
Demo: Multi-modal Gemma: PaliGemma with Keras,2024-10-18T16:00:52Z,3298,33,0
Demo: Teach Gemma to work in YOUR language,2024-10-18T16:00:45Z,2127,34,2
Demo: DataGemma: Grounding LLMs with Data Commons data,2024-10-18T16:00:38Z,6993,33,2
Demo: Gemma Scope: Sparse autoencoders on Gemma 2,2024-10-18T16:00:37Z,6943,102,2
Demo: Gemma 2 2B on a Jetson Orin Nano,2024-10-18T16:00:31Z,19045,549,11
How to run and scale Gemma 2 on Google Cloud,2024-10-18T16:00:19Z,1830,12,0
Demo: Unleashing Gemma in production with Hugging Face Text Generation Inference (TGI),2024-10-18T16:00:15Z,2273,19,1
What Gemma model can help me code?,2024-10-17T16:00:15Z,1421,42,4
AI Code Assistant with no third-party services required,2024-10-16T21:00:32Z,3582,132,2
Personal AI Code Assistant with Gemma | Build with Google AI,2024-10-16T16:00:16Z,13794,405,24
Revolutionize how your team interacts with data!,2024-10-14T19:00:08Z,1514,89,2
"Run AI locally, with Gemma!",2024-10-11T04:00:14Z,7653,215,8
Think you can hack Google? Lets find out.,2024-10-10T19:59:29Z,4440,80,3
Tuning Gemma models: How much data?,2024-10-10T04:00:24Z,1812,40,1
What is Google’s Vulnerability Rewards Program?,2024-10-09T19:00:12Z,4189,292,14
How long does it REALLY take to build an AI task assistant?,2024-10-09T04:00:10Z,3935,126,2
Business Email AI Assistant with Gemma | Build with Google AI,2024-10-08T23:00:13Z,5205,182,8
Tips for tuning Gemma models for languages,2024-10-04T19:00:18Z,1848,43,7
Gemma AI: language tuning short cut,2024-10-04T04:00:25Z,2135,65,1
Drive consistent conversion improvements with Google Pay,2024-10-03T23:00:05Z,1497,63,2
A gift card for you! How to create them with Google Wallet,2024-10-03T16:41:40Z,4450,150,21
Fine-tune language models with surprisingly little data!,2024-10-03T04:00:09Z,3748,74,4
Spoken Language AI Assistant with Gemma | Build with Google AI,2024-10-02T23:00:09Z,5435,144,4
Ethical practices in AI,2024-10-02T19:00:19Z,1241,60,0
Any advice for devs exploring AI?,2024-10-01T23:00:17Z,1326,62,4
AI & the future of development,2024-09-30T23:00:34Z,2461,94,2
Google Pay's PayButton API,2024-09-30T16:00:39Z,3774,111,8
Advice for devs using AI?,2024-09-27T23:00:47Z,2118,76,4
3 reasons to attend DevFest!,2024-09-26T23:00:49Z,1856,89,5
Build an AI-powered Flutter code generator with Gemini API!,2024-09-20T19:41:08Z,2938,114,1
Lisp list reversal challenge!,2024-09-20T13:01:01Z,2763,81,14
Ever wondered just how big the Google G really is?,2024-09-20T04:00:04Z,44490,224,17
"Android 15 Launch, a special guest spotlight, and more - Google Developer News September 2024",2024-09-19T23:00:11Z,5866,178,9
Learn how to build an AI powered code assistant,2024-09-19T19:00:14Z,2162,133,1
NLP: Necessary Laptop Pawing. 🐾,2024-09-19T04:00:37Z,2114,58,17
Live Google Pay integrations: Collect payments on the Web with Google Pay and Adyen,2024-09-18T16:43:42Z,5960,156,0
Who else is team standing desk?,2024-09-18T04:00:15Z,4871,126,7
Benefits of the Google Developer Program,2024-09-17T19:08:16Z,7343,239,8
Press pause and share what you’ll be creating. ✨,2024-09-17T01:00:17Z,2914,114,13
Let's learn C++!,2024-09-13T21:05:58Z,122237,2718,83
Purrfect Code Level 5. Can you score higher than a 55?,2024-09-13T13:00:01Z,2344,95,6
Upcoming deadlines = a lurking manager,2024-09-13T01:00:24Z,4989,133,7
Machine Learning Crash Course: Fairness,2024-09-12T16:11:20Z,8802,120,6
There’s really no in between,2024-09-10T04:00:25Z,6627,172,10
Machine Learning Crash Course: Embeddings,2024-09-09T16:10:25Z,19628,319,13
The 2-cut cake challenge,2024-09-06T16:08:43Z,3427,106,28
New devs + sarcasm = total misunderstanding,2024-09-06T04:00:13Z,5809,120,8
When your coworker is still in WFH mode...,2024-09-05T04:00:39Z,9042,209,7
Help us crown the People's Choice winner!,2024-09-04T23:00:24Z,1994,82,3
Machine Learning Crash Course: Neural Networks Backprop,2024-09-04T16:01:01Z,16610,272,12
Machine Learning Crash Course: Neural Networks Intro,2024-09-03T23:02:07Z,17769,333,4
What is DevFest?,2024-09-03T16:00:06Z,4274,163,4
Rescue cats & push boxes with JavaScript code. Can you score 3 stars?,2024-08-30T13:00:37Z,2301,89,9
How managers train to annoy software engineers,2024-08-30T04:00:43Z,8026,230,7
Who would you choose to join your team?,2024-08-29T13:00:49Z,1987,59,5
"When “urgent” calls, but you’re in the zone… 🔕",2024-08-29T04:00:36Z,6216,84,7
Machine Learning Crash Course: Generalization,2024-08-28T16:29:48Z,16487,262,5
The 5 stages of debugging,2024-08-28T04:00:00Z,9573,479,13
"Sorry, can you repeat the question? 💅",2024-08-27T04:00:07Z,3114,47,4
Machine Learning Crash Course: Classification,2024-08-26T16:14:27Z,30285,362,10
How compact can you write this code? Let’s find out.,2024-08-23T21:00:31Z,4621,195,16
A Year of Project IDX,2024-08-22T19:11:46Z,174591,7188,477
Code with too many comments or no comments?,2024-08-21T23:00:16Z,3170,98,7
Machine Learning Crash Course: Logistic Regression,2024-08-21T16:46:55Z,47567,497,9
“You don't have to be perfect to make an impact!” + more advice from Google #DeveloperStudentClubs,2024-08-20T16:00:32Z,2038,82,1
Machine Learning Crash Course: Gradient Descent,2024-08-19T16:01:06Z,60128,578,16
Machine Learning Crash Course: Intro & What's New,2024-08-19T16:00:49Z,74227,650,13
Machine Learning Crash Course: The Optimistic ReLU Function,2024-08-19T16:00:31Z,3344,116,3
Can you spot what will create unexpected behavior in this code snippet?,2024-08-16T13:00:20Z,3103,125,24
"Code like a minimalist—no need for complex tricks. Keep it clean, readable, and classy. ✨",2024-08-16T03:00:13Z,5743,230,17
What could possibly go wrong with a little code cleanup?,2024-08-15T20:00:15Z,7435,195,19
"No need for two laptops, but thank you?",2024-08-14T21:00:02Z,7586,209,6
AI-assisted coding search results to help you Google it better,2024-08-14T13:00:11Z,1398,57,3
Code from 10 years ago? 🤨,2024-08-13T21:00:34Z,6333,163,8
LLMs on the browser,2024-08-13T13:00:03Z,1750,55,4
Busting 3 myths about quantum computers,2024-08-12T13:00:48Z,8288,291,9
"New in Web from Google - :has(), gradient.style and more",2024-08-09T22:00:15Z,1796,81,3
Determine the output of this C code using post-increment operators. Go!,2024-08-09T13:04:06Z,3275,122,38
"Use scroll progress to start, pause, and reverse an animation on your web page",2024-08-08T19:00:12Z,1757,90,3
"Save cats using Javascript, play Purrfect Code",2024-08-08T13:00:33Z,18580,409,17
The modern pentathlon.,2024-08-07T22:00:31Z,3825,118,5
Build with Gemini Nano on Android,2024-08-07T16:00:41Z,1965,76,3
The quest for a productive outdoor workspace continues...,2024-08-05T16:00:47Z,3739,74,4
When you leave your PM with more questions than answers. 🤷‍♂️,2024-08-01T16:01:01Z,4385,65,4
Google office ASMR,2024-07-31T16:11:49Z,10620,276,21
Gemini API has a Dart SDK?!,2024-07-31T04:00:12Z,2999,141,5
How to implement Autofill for secure & speedy payments,2024-07-29T16:23:51Z,3279,87,14
Write PHP code that can reformat the American decimal system. Go!,2024-07-28T13:00:31Z,2661,97,10
Found our happy place!,2024-07-26T04:00:34Z,6503,119,6
Can you match Christopher Lloyd's coding skill? Let's find out.,2024-07-24T13:01:04Z,3313,160,5
It’s not JUST the save icon,2024-07-24T04:00:10Z,13589,284,17
Don’t forget to stretch!,2024-07-23T04:00:24Z,7711,215,12
Test your Google Pay integration with these 3 steps,2024-07-22T19:00:13Z,7844,99,8
Trying to get a dev's address be like...,2024-07-19T13:00:48Z,19824,523,28
What will be the output on this Go program? Go!,2024-07-19T01:00:01Z,2513,120,8
The perfect place to let it all out,2024-07-18T04:00:27Z,8579,166,18
When your coding goals meet reality….,2024-07-17T04:00:20Z,27336,667,23
Tune Gemini in Google AI Studio and Gemini API,2024-07-12T19:00:06Z,21701,363,18
What it's like to attend a GDG meetup,2024-07-12T16:28:44Z,2763,91,13
What's the purpose of this last line of code? Go!,2024-07-12T01:00:30Z,2414,87,9
"NEW Client Libraries for Google Wallet? Yes, we have them.",2024-07-11T16:46:35Z,3744,104,7
Face Control AI at Google I/O 2024,2024-07-10T19:30:04Z,3324,106,4
If AI could do anything?,2024-07-10T04:00:15Z,3179,65,2
How does the community leverage AI?,2024-07-09T04:00:30Z,1606,51,1
Ah bugs... the gift that keeps on giving. 🙃,2024-07-03T04:00:35Z,6551,186,4
Generative AI on-device at Google I/O 2024,2024-07-02T19:00:01Z,3117,116,2
How many times have you tuned into #GoogleIO?,2024-07-02T04:00:24Z,2683,71,0
💡🔧 Gemini API and Gemma just got some awesome updates!,2024-07-01T22:00:00Z,15567025,159,11
How to win a DeLorean,2024-07-01T19:00:21Z,2757,85,7
What advice would you give a student developer?,2024-06-28T04:00:19Z,4381,163,9
Developing for Indic languages | Gemma and Navarasa (Extended Edition),2024-06-27T20:34:36Z,7650,144,15
2024 Solution Challenge Demo Day,2024-06-27T14:40:43Z,24377,574,22
Can you complete this AI crossword puzzle? Find out!,2024-06-26T17:00:08Z,6995,160,10
